Name,Type,Move Power,Move Time,PP,Duration,Range,Description,Scaling,Save
Doom Desire,Steel,STR ,1 action,3,2 turns_ Concentration,30ft,You promise doom upon a creature. When you activate this move_ select a target and make an attack roll. On a hit_ at the beginning of the third round after you activate this move_ the target takes damage of no specific type. If the target is switched out_ the damage is done to the trainer's current active Pok̩mon.,Higher Levels: The damage dice roll for this move changes to 3d10 at level 5_ 7d6 at level 10_ and 8d8 at level 17.,Missing
Double Hit,Normal,STR DEX ,1 action,10,Instantaneous,Melee,You lash out quickly with two strikes. Make two melee attacks_ dealing normal damage \on each hit.,Higher Levels: The damage dice roll for this move changes to 1d10 at level 5_ 2d8 at level 10_ and 5d4 at level 17.,Missing
Double Iron Bash,Steel,STR ,1 action,5,Instantaneous,Melee,You punch twice with two devastating slams of your fist. Make two melee attack rolls_ doing steel damage on each successful hit. If any natural attack roll is 16 or higher_ the target flinches.,Higher Levels: The damage dice rolls for this move changes to 2d6 at level 5_ 4d4 at level 10_ and 3d10 at level 17.,Missing
Double Kick,Fighting,STR DEX ,1 action,10,Instantaneous,Melee,You strike twice with two devastating kicks. Make two melee attack rolls_ doing fighting damage on each successful hit.,Higher Levels: The damage dice rolls for this move changes to 1d10 at level 5_ 2d8 at level 10_ and 5d4 at level 17.,Missing
Double Slap,Normal,STR DEX CHA ,1 action,5,Instantaneous,Melee,You reach out to slap a creature with quick strikes. Make a melee attack roll_ doing on a hit. After successfully hitting a target_ roll a d4. On a result of 3 or 4_ you may immediately hit again for an additional normal damage. Continue this process until you fail to roll a 3 or 4 on the d4 roll_ up to a maximum of four additional hits.,Higher Levels: The damage dice rolls for this move change to 1d6 at level 5_ 1d8 at level 10_ and 2d6 at level 17.,Missing
Double Team,Normal,Missing,1 bonus action,3,1 minute_ Concentration,Self,You create a duplicate image of yourself_ 5 feet beside you. The image mimics you and attempt to fool your opponents into attacking it_ instead. When subject to a damaging melee or ranged move with an area of effect of 5 feet wide or less_ roll a d4. On a result of 3 or 4_ the image absorbs the damage and/or effects of the attack and disappears. Creatures with Truesight bypass the effect of this move. If grappled or restrained by a creature while Double Team is active_ Double Team has no effect.,Missing,Missing
Double-Edge,Normal,STR DEX ,1 action,10,Instantaneous,Melee,You commit a massive attack against a creature. Make a melee attack against a target_ doing normal damage on a hit_ but taking a quarter of the total damage (rounded down) in typeless recoil.,Higher Levels: The damage dice roll for this move changes to 3d8 at level 5_ 4d10 at level 10_ and 7d8 at level 17.,Missing
Draco Meteor,Dragon,STR ,1 action,3,Instantaneous,80ft,You summon forth a meteor shower that rains down onto the battlefield. All creatures in a 20 foot circle_ centered on a point within range_ must make a DEX save against your Move DC_ taking dragon damage on a hit_ or half as much on a save. After activating this move_ your next attack is rolled at disadvantage. If that attack requires a saving throw_ the target has advantage.,Higher Levels: The damage dice roll for this move changes to 3d10 at level 5_ 5d8 at level 10_ and 8d8 at level 17.,DEX
Dragon Ascent,Flying,STR DEX ,1 action,5,Instantaneous,100ft,You soar upward and come crashing down towards a creature in range at tremendous speed. Make a melee attack roll_ dealing flying damage on a hit. Any creature within 10 feet of the target must make a DEX save against your Move DC and take the same amount of damage on a failure_ or half as much on a success. After activating this move_ any attack roll that targets you until the beginning of your next turn is rolled with advantage.,Higher Levels: The damage dice roll for this move changes to 4d10 at level 5_ 6d10 at level 10_ and 8d12 at level 17.,DEX
Dragon Breath,Dragon,STR DEX ,1 action,10,Instantaneous,Self (40ft cone),You release a powerful breath of energy in a 40 foot cone. All targets caught in the blast must make a DEX save against your Move DC_ taking dragon damage on a fail_ and half as much on a save. If a creature fails the save by 5 or more_ it is paralyzed.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,DEX
Dragon Claw,Dragon,STR ,1 action,10,Instantaneous,Melee,You strike out with a powerful claw attack. Make a melee attack on a creature_ doing dragon damage on a hit.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,Missing
Dragon Dance,Dragon,Missing,1 action,10,1 minute_ Concentration,Self,You perform a mystical dance_ pumping yourself up. For the duration_ double your proficiency bonus when making an attack.,Missing,Missing
Dragon Hammer,Dragon,STR ,1 action,10,Instantaneous,Self (25ft line),You slam your head down like a hammer to attack a creature in range. Make a melee attack roll against the target_ dealing dragon damage on a hit. Hit or miss_ any creatures within the line created by the attack (5 feet wide) must make a DEX save against your Move DC_ taking the same damage on a failure.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,DEX
Dragon Pulse,Dragon,DEX ,1 action,5,Instantaneous,50ft,You open your mouth and send a shockwave of draconic energy at a target in range. Make a ranged attack_ dealing dragon damage on a hit.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,Missing
Dragon Rage,Dragon,STR ,1 action,3,Instantaneous,Self (100ft line),You unleash a devastating flow of energy in a 100 foot long line_ 5 feet wide. Each creature caught in the blast must make a DEX save against your Move DC_ taking dragon damage on a fail_ and half as much on a save.,Higher Levels: The damage dice roll for this move changes to 3d8 at level 5_ 4d10 at level 10_ and 7d8 at level 17.,DEX
Dragon Rush,Dragon,STR ,1 action,5,Instantaneous,Melee,You rush at a creature with overwhelming menace. Make a melee attack_ dealing dragon damage on a hit. On natural attack rolls of 17 or higher_ the target flinches.,Higher Levels: The damage dice roll for this move changes to 2d12 at level 5_ 4d8 at level 10_ and 8d6 at level 17.,Missing
Dragon Tail,Dragon,STR ,1 action,5,Instantaneous,Melee,You whip your dragon tail at a creature in an attempt to send them away. Make a melee attack roll against a target_ dealing dragon damage. In wild battles_ the target takes the damage and flees from battle if its level is lower than that of the user. In trainer battles_ the target takes the damage and must be immediately switched out for another creature in the trainer's party_ if any remain.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Drain Punch,Fighting,STR DEX ,1 action,5,Instantaneous,Melee,Your strike a target with an energy-draining punch. Make a melee attack_ dealing fighting damage on a hit_ gaining half the damage dealt (rounded down) in HP.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 2d12 at level 10_ and 6d6 at level 17.,Missing
Draining Kiss,Fairy,DEX CHA ,1 action,5,Instantaneous,Melee,You attempt to zap the target's energy with a kiss. Make a melee attack roll on a creature_ dealing fairy damage on a hit. The user is then healed for half the damage dealt.,Higher Levels: The damage dice roll for this move changes to 2d6 at level 5_ 4d4 at level 10_ and 3d10 at level 17.,Missing
Dream Eater,Psychic,WIS ,1 action,10,Instantaneous,30ft,You tap into a sleeping creature's dreams_ sucking from its energy pool. Instantly inflict psychic damage on a sleeping target in range_ regaining half as many hitpoints to yourself. This move does not wake a sleeping creature.,Higher Levels: The damage dice roll for this move changes to 2d12 at level 5_ 4d8 at level 10_ and 8d6 at level 17.,Missing
Drill Peck,Flying,STR DEX ,1 action,10,Instantaneous,Melee,You hammer down on a target with a peck attack. Make a melee attack roll on a target_ doing flying damage on a successful hit. Drill Peck scores a critical hit on 19s and 20s.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,Missing
Drill Run,Ground,STR DEX ,1 action,5,Instantaneous,Melee,You crash into a creature_ spinning your body like a drill. Make a melee attack_ dealing ground damage on a hit. This attack scores a critical hit on 19s and 20s.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,Missing
Dual Chop,Dragon,STR DEX ,1 action,10,Instantaneous,Melee,You lash out at a creature(s) with two quick strikes. Make two melee attack rolls_ dealing dragon damage with each hit.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,Missing
Dynamic Punch,Fighting,STR DEX ,1 action,3,Instantaneous,Melee,You strike out with a twirling punch that confuses a creature. Make a melee attack roll against a creature_ doing fighting damage on a hit. On a hit_ it also becomes confused.,Higher Levels: The damage dice roll for this move changes to 2d12 at level 5_ 4d8 at level 10_ and 8d6 at level 17.,Missing
Earth Power,Ground,STR ,1 action,5,Instantaneous,40ft,You cause the ground beneath a creature to erupt with power. Make a ranged attack_ dealing ground damage on a hit. If the natural attack roll is 19 or 20_ the next attack against the target is rolled at advantage.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Earthquake,Ground,STR ,1 action,5,Instantaneous,Self (20ft radius),You create a tremor in the ground in a 20 foot radius_ centered on you. Each creature in the area must succeed on a STR save against your Move DC_ taking ground damage on a fail and be knocked prone. On a success_ they take half as much damage and are not knocked prone. Creatures in range that are burrowed or in the invulnerable stage of Dig take double damage from this move. After the move is activated_ the area becomes difficult terrain. Raised creatures are immune to the effects and damage of this move.,Higher Levels: The damage dice roll for this move changes to 2d12 at level 5_ 4d8 at level 10_ and 8d6 at level 17.,STR
Echoed Voice,Normal,WIS CHA ,1 action,10,Instantaneous,40ft,You release a shout that echoes across the battlefield towards a creature. Make a ranged attack_ dealing normal damage on a hit. Until the beginning of your next turn_ if any other creature in range uses this move_ they may double their damage dice on a hit. This multiplier can continue to stack to a maximum of 8x the damage dice_ resetting if any of the attacks miss.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,Missing
Eerie Impulse,Electric,DEX CHA ,1 action,3,Instantaneous,Self (30ft radius),Your body generates a strange pulsating sound that can disrupt creature's ability to attack. When you activate this move_ any creature within 30 feet of you must make a CON saving throw against your Move DC. Any creature that fails flinches for 1d4 rounds.,Missing,CON
Egg Bomb,Normal,DEX ,1 action,5,Instantaneous,60ft,You hurl a hard egg at a creature that explodes on impact. Make a ranged attack on a creature_ doing normal damage on a successful hit.,Higher Levels: The damage dice roll for this move changes to 2d12 at level 5_ 4d8 at level 10_ and 8d6 at level 17.,Missing
Electric Terrain,Electric,Missing,1 action,5,3 rounds,Self (40ft radius),You electrify the ground around you to create a static field of electricity. For 3 turns_ no grounded creatures inside the area can be asleep. Grounded creatures are those that do not have a flying speed or Levitate_ Magnet Rise_ or similar ability. In addition_ creatures may double their MOVE modifier on damage rolls from electric-type moves activated inside the area,Missing,Missing
Electrify,Electric,STR DEX ,1 reaction,5,Instantaneous,Melee,"You suddenly surge with electric energy that transfers to your attacker. When hit by a melee attack_ you may instantly use your reaction to force the attacker to make a CON save against your Move DC. On a failure_ the attacking move's type is changed to ""electric"".",Missing,CON
Electro Ball,Electric,DEX ,1 action,5,Instantaneous,40ft,You hurl an electric orb at a target in range. Make a ranged attack roll_ dealing electric damage on a hit. Compare the target and user's highest speed type (walking_ flying_ etc.). If the user's speed is higher_ roll the next tier's damage dice for this move. In the case of level 17 or higher_ double the damage dice.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,Missing
Electroweb,Electric,STR DEX ,1 action,10,Instantaneous,40ft,You unleash an electric net of web upon a creature. Make a ranged attack roll_ dealing electric damage on a hit_ and reducing the target's speed by 5 feet. The target can use an action on its turn remove any web from its body. A target whose speed is reduced to 0 is restrained.,Higher Levels: The damage dice roll for this move changes to 2d6 at level 5_ 4d4 at level 10_ and 3d10 at level 17.,Missing
Embargo,Dark,WIS ,1 action,10,1 minute,30ft,You surround a creature in range with a dark aura. Force a creature to make a WIS save against your Move DC. On a failure_ the target cannot gain the effect of any held item or trainer item given to it for the duration.,Missing,WIS
Ember,Fire,STR DEX ,1 action,15,Instantaneous,60ft,You hurl a ball of flame at a target within range. Make a ranged attack_ doing fire damage on a successful hit. If the natural attack roll is 19 or 20_ the target is burnt.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,Missing
Encore,Normal,WIS CHA ,1 reaction,3,Instantaneous,100ft,After being targeted by a move_ force a creature to make a WIS save against your Move DC as a reaction. On a fail_ the creature must target you with the same move used on their next turn_ even if you may be out of range.,Higher Levels: The number of turns the creature must use the move increases to 2 turns at level 10 and 3 turns at level 17.,WIS
Endeavor,Normal,WIS CON ,1 action,3,Instantaneous,30ft,When you activate this move_ select a creature in range. the target must make a WIS saving throw against your Move DC. On a failure_ the target's current HP is reduced to be equal to your own. The hit point reduction can be no more than 5x the target's level. This move can not be used in the first round of combat.,Missing,WIS
Endure,Normal,Missing,1 reaction,3,Instantaneous,Self,On an instance of taking damage that would otherwise cause you to faint_ you may instead fall to 1HP on the first instance of this reaction. On future instances of this move in the same combat_ you must roll higher than a 15 on a d20 roll for the reaction to be successful.,Missing,Missing
Energy Ball,Grass,DEX ,1 action,5,Instantaneous,40ft,You draw in power from nature in a concentrated ball that you send towards a creature. Make a ranged attack_ dealing grass damage on a hit. On a natural attack roll of 19 or 20_ the next attack against the target is rolled at advantage.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Entrainment,Normal,WIS CHA ,1 action,10,1 minute,60ft,You dance with a strange rhythm that causes a creature to mimic you. Choose a target in range and force them to make a WIS save against your Move DC. On a failure_ choose one of their abilities to replace with one of your own for the duration.,Missing,WIS
Eruption,Fire,STR DEX ,1 action,3,Instantaneous,Self (15ft cone),You spew hot magma in a 15 foot cone. Any creature caught in the blast must make a DEX saving throw against your Move DC_ taking fire damage on a failure_ or half as much on a success. If you are at full health when activating this move_ double your STAB bonus when dealing damage.,Higher Levels: The damage dice roll for this move changes to 5d6 at level 5_ 4d12 at level 10_ and 8d8 at level 17.,DEX
Explosion,Normal,Missing,1 action,3,Instantaneous,80ft,You create a sphere of energy that packs a concentrated and devastating explosion. Choose a target within range and roll a d20. On a 20_ the explosion goes off and all creature within 5 feet of that point faint  On any other roll_ the explosion fails to go off and this move has no effect. If the target's level is 10 more than your own_ this move automatically fails.,Missing,Missing
Extrasensory,Psychic,WIS ,1 action,10,Instantaneous,30ft,You create an irritating_ damaging sound in the mind of a creature. Make a ranged attack roll against a creature in range_ doing psychic damage on a hit. If the natural attack roll is 19 or 20_ the target flinches.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,Missing
Extreme Speed,Normal,DEX ,1 bonus action,15,Instantaneous,Melee,You rush to attack with incredible speed. As a bonus action_ you can immediately move up to 10ft and make a melee attack against a creature in range without taking an attack of opportunity_ doing normal damage on a hit.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,Missing
Facade,Normal,STR DEX ,1 action,10,Instantaneous,Melee,You strike out at a creature with revenge. Make a melee attack roll against a target_ dealing normal damage on a hit. If you are poisoned_ paralyzed_ or burned_ double the dice for the damage.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 2d12 at level 10_ and 6d6 at level 17.,Missing
Fairy Lock,Fairy,Missing,1 bonus action,5,1 round,Self (40ft radius),You summon forth a mystical power that locks down the battlefield. Creatures within a 80 foot circle_ centered on you_ may not flee or be switched out on their next turn.,Missing,Missing
Fairy Wind,Fairy,DEX CHA ,1 action,15,Instantaneous,30ft,You stir up a series of vicious fairy winds that fly towards a creature in range. Make a ranged attack roll against a target_ dealing fairy damage on a hit.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,Missing
Fake Out,Normal,STR DEX ,1 action,5,Instantaneous,Melee,This attack can only be used on the first turn that the user has entered combat. Make a melee attack on a creature_ doing normal damage on a hit_ causing the target to flinch.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,Missing
Fake Tears,Dark,WIS CHA ,1 action,5,Instantaneous,50ft,You fake a creature out with superficial tears_ lowering their defenses. When activating this move_ a target must make a WIS saving throw against your Move DC. On a failure_ all attack rolls against the target are given a +5 bonus until the end of your next turn.,Missing,WIS
False Swipe,Normal,STR DEX ,1 action,20,Instantaneous,Melee,You swipe at a creature but hold back power slightly. Make a melee attack against a creature_ doing normal damage on a hit. If this attack would normally cause a creature to faint_ it is reduced to 1HP instead.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,Missing
Feather Dance,Flying,DEX CHA ,1 action,10,1 minute_ Concentration,50ft,You distract a creature in range with a beautiful dance. The target must make a WIS saving throw against your Move DC. On a fail_ the target cannot add proficiency to its attack rolls for the duration.,Missing,WIS
Feint Attack,Dark,STR DEX CHA ,1 action,10,Instantaneous,Melee,You bring a creature close and hit it with a sucker punch. Make a melee attack on a creature_ at advantage_ dealing dark damage on a hit.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Feint,Normal,DEX ,1 action,10,Instantaneous,Melee,You fake out a creature before you strike. Make a melee attack against a target_ dealing normal damage on a hit. If a creature attempts to use a Protect or Detect reaction against the damage_ it fails.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Fell Stinger,Bug,STR DEX ,1 action,10,Instantaneous,Melee,You lunge at a creature with a devastating sting attack. Make a melee attack on a creature_ dealing bug damage on a hit. If this attack causes the target to faint_ double your ability modifier for attack rolls and damage on your next turn.,Higher Levels: The damage dice roll for this move changes to 2d6 at level 5_ 4d4 at level 10_ and 3d10 at level 17.,Missing
Fiery Dance,Fire,DEX CHA ,1 action,5,Instantaneous,Self (15ft radius),You dance and flap your wings_ sending flames in a 30 foot circle_ centered on you. Anyone caught in the blaze must make a DEX save against your Move DC_ taking fire damage on a failure_ or half as much on a success. If a creature fails the save by 5 or more_ double the MOVE modifier when adding damage,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,DEX
Final Gambit,Fighting,STR ,1 action,3,Instantaneous,30ft,You risk everything and use your own life force to damage a creature in range. When you activate this move_ you faint_ and force a target in range to make a CON save against your Move DC. The target takes an amount of fighting damage equal to your remaining HP on a failure_ or half as much on a success,Missing,CON
Fire Blast,Fire,STR DEX ,1 action,5,Instantaneous,40ft,Two pillars of raging hot flames explode out from you and leap towards up to two creature in range. The creature(s) targeted must succeed on a DEX save against your Move DC for each pillar_ taking fire damage on a failure_ or half as much on a success. Creatures that fail the save by 5 or more become burned.,Higher Levels: The damage dice roll for this move changes to 2d6 at level 5_ 4d4 at level 10_ and 3d10 at level 17.,DEX
Fire Fang,Fire,STR DEX ,1 action,10,Instantaneous,Melee,You attempt to pierce a creature with flame-cloaked fangs. Make a melee attack_ dealing fire damage on a hit. On a natural attack roll of 19 or 20_ the target is burned and flinches.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Fire Lash,Fire,DEX WIS ,1 action,10,1 minute,10ft,You strike out at a target in range with a burning lash_ Make a melee attack on a creature_ doing fire damage. On a successful attack_ the targeted creature must make a CON save against your Move DC. On a fail_ allies add +1 to any attack targeted at the creature for the duration. This modifier can be stacked if it fails multiple Fire Lash saves_ up to a maximum of +5.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,CON
Fire Pledge,Fire,STR ,1 action,5,Instantaneous,40ft,You send a plume of flame towards a creature. Make a ranged attack_ dealing fire damage on a hit. After you land a hit_ any ally that uses another Pledge move in the same round automatically hits.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,Missing
Fire Punch,Fire,STR DEX ,1 action,10,Instantaneous,Melee,You strike out with fire-infused fists. Make a melee attack roll_ doing fire damage on a hit. On a natural attack roll of 19 or 20_ the target is burned.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 2d12 at level 10_ and 6d6 at level 17.,Missing
Fire Spin,Fire,DEX ,1 action,5,3 rounds_ Concentration,40ft,You release a series of moving flames that dance around a target. Make a ranged attack roll_ doing fire damage on a hit. as the flames swirl around it. As long as you maintain concentration_ the target takes an additional fire damage at the end of each of its next three turns.,Higher Levels: The damage dice rolls for this move changes to 2d6 at level 5_ 4d4 at level 10_ and 3d10 at level 17.,Missing
First Impression,Bug,DEX ,1 bonus action,5,Instantaneous,Melee,You make quite the entrance_ quickly attacking a creature. This attack can only be used on the first turn that the user has entered combat. Make a melee attack on a creature_ doing bug damage on a hit.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Fissure,Ground,Missing,1 action,3,Instantaneous,100ft,You crack open the ground with devastating force. Choose a target in range and roll a d20. On a 20_ the target falls into the crack and vanished into the abyss. On any other roll_ or if targeting a flying creature_ this move has no effect. The area in a 20 foot radius around the target becomes difficult terrain. If the target's level is 10 more than your own_ this move automatically fails.,Missing,Missing
Flail,Normal,STR DEX ,1 action,10,Instantaneous,Melee,You flail about with a wild strike that increases in power the more injured you are. Make a melee attack roll against a creature_ doing normal damage on a hit. If you are below 50% of your maximum health_ double the damage. If you are at 10% or below of your maximum health_ triple the damage. The multiplier for this attack occurs before the multiplier for resistances or vulnerabilities.,Higher Levels: The damage dice roll for this move changes to 1d10 at level 5_ 2d8 at level 10_ and 5d4 at level 17.,Missing
Flame Burst,Fire,STR DEX ,1 action,10,Instantaneous,40ft,You release a fireball that explodes on contact. Choose a point in range. Any creature within 5 feet of that point must make a DEX save against your Move DC_ taking fire damage on a hit_ or half as much on a success.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 2d12 at level 10_ and 6d6 at level 17.,DEX
Flame Charge,Fire,STR DEX ,1 action,10,Instantaneous,Melee,You cloak yourself with flame and lash out at a creature. Make a melee attack_ dealing fire damage on a hit. With each successful hit from this move_ increase your movement speed by 5 until you are incapacitated_ are switched out_ or the combat ends. (Maximum of +30 to movement speed),Higher Levels: The damage dice roll for this move changes to 2d6 at level 5_ 4d4 at level 10_ and 3d10 at level 17.,Missing
Flame Wheel,Fire,STR DEX ,1 action,15,Instantaneous,Self (10ft radius),A wheel of flame explodes out from you in a 10 foot radius. All creature in the area must succeed on a DEX save against your Move DC_ taking fire damage on a fail and half as much on a save. If the user is frozen_ this move can still be used_ thawing out the creature during the attack,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,DEX
Flamethrower,Fire,STR DEX ,1 action,10,Instantaneous,Self (40ft cone),You shoot a concentrated gout of flame in an 40 foot cone. Any creature caught in the cone must succeed on a DEX save against your Move DC_ taking fire damage on a failure_ or half damage on a success. Any creature that fails the save by 5 or more becomes burned.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,DEX
Flare Blitz,Fire,STR DEX ,1 action,10,Instantaneous,Melee,You cloak yourself in fire and charge at a creature with serious damage. Make a melee attack against a creature_ dealing fire damage on a hit. On a hit_ you take a quarter of the damage dealt in typeless recoil damage. On a natural attack roll of 19 or 20_ the target is burned. If the user is frozen_ this move can still be used_ thawing out the creature during the attack,Higher Levels: The damage dice roll for this move changes to 3d8 at level 5_ 4d10 at level 10_ and 7d8 at level 17.,Missing
Flash Cannon,Steel,STR DEX ,1 action,5,Instantaneous,60ft,You gather energy from the light around you and send a concentrated beam towards a creature in range. Make a ranged attack_ dealing steel damage on a hit. On a natural attack roll of 19 or 20_ the next attack against the target is rolled at advantage.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,Missing
Flash,Normal,CON ,1 action,10,Instantaneous,Self (20ft radius),"You emit an immense flash of light in a 20 foot radius circle_ centered on you. Creatures in the area must make a CON save against your Move DC. On a fail_ they are blinded until the end of their next turn. Outside of combat_ this move can be used to light a dim area_ much like the ""Light"" cantrip.",Missing,CON
Flatter,Dark,WIS CHA ,1 action,10,Instantaneous,40ft,You send mixed signals to an creature in range. Force a target in range to make a WIS save against your Move DC. On a fail_ the target is confused_ but it adds +2 to its attack rolls while confused.,Missing,WIS
Fleur Cannon,Fairy,WIS CHA ,1 action,3,Instantaneous,Self (80ft line),You unleash a beam of energy in a 80 foot line_ 5 feet wide. All creatures in its path must make a DEX save against your Move DC_ taking fairy damage on a hit_ or half as much on a save. After activating this move_ your next attack is rolled at disadvantage. If the next attack requires a saving throw_ the target(s) has advantage.,Higher Levels: The damage dice roll for this move changes to 3d10 at level 5_ 5d8 at level 10_ and 8d8 at level 17.,DEX
Fling,Dark,STR DEX ,1 action,5,Instantaneous,60ft,"You sacrifice your held item to throw it a creature. Make a ranged attack. On a hit_ the amount of dark damage dealt is equal to the price of the item in the manual_ divided by 100 (rounded down)_ plus STAB (if applicable). After activating this move_ on a hit or miss_ the item disappears. In addition_ certain items have additional effects on a successful hit with this move. After activating this move_ on a hit or miss_ the item disappears.

| Item  | Effect |
|:---:|:-----------:|
|  Flame Orb  | Burns |
|  Toxic Orb  | Badly Poisons |
|  Light Ball  | Paralyzes|

| Item    | Effect |
|:---:|:-----------:|
|  King's Rock  | Flinches |
|  Razor Fang  | Flinches |
|  Poison Barb  | Poisons |",Missing,Missing
Floral Healing,Fairy,CON ,1 action,10,Instantaneous,30ft,You extend a healing energy to recover the hit points of a creature in range. The target gains hit points. If the terrain is grassy_ double your MOVE modifier.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Flower Shield,Fairy,Missing,1 action,5,1 minute_ Concentration,Self (15ft radius),Large flowers sprout from any grass-type allies in range_ boosting their defense. For one minute_ as long as you keep your concentration_ grass-type allies in a 30 foot circle_ centered on you_ gain +2 to their AC.,Missing,Missing
Fly,Flying,STR DEX ,1 action,10,1 round_ charge,80ft,You fly high into the air to prepare for a dive bomb attack. When you activate this move_ you use 10 feet of your movement to vanish and fly upwards_ remaining in an invulnerable state until your next turn. During this time_ you are immune to the damage and effects of any move. If you have no remaining movement or are grappled/restrained before activating this move_ the move fails. On your next turn_ you use your action to reappear and make a diving melee attack on a creature in range_ with advantage_ dealing flying damage on a successful hit.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Flying Press,Fighting,STR DEX ,1 action,5,Instantaneous,Melee,You dive at a creature with quick reaction speed_ able to change the type of attack when you reach them. Make a melee attack against a target_ dealing flying OR fighting damage_ depending on your choice. STAB can only added to this move if its type is fighting.,Higher Levels: The damage dice roll for this move changes to 2d12 at level 5_ 4d8 at level 10_ and 8d6 at level 17.,Missing
Focus Blast,Fighting,STR DEX ,1 action,3,Instantaneous,60ft,You heighten your focus and unleash it upon a creature. Make a ranged attack_ dealing fighting damage on a hit. On a natural attack roll of 19 or 20_ the next attack against the target is rolled at advantage.,Higher Levels: The damage dice roll for this move changes to 3d8 at level 5_ 4d10 at level 10_ and 7d8 at level 17.,Missing
Focus Energy,Normal,Missing,1 bonus action,5,1 minute_ Concentration,Self,You shut your eyes and focus in on the energy inside you before striking. For the duration_ increase your critical range by 2 (From 20 to 18+ _ from 19+ to 17+_ etc.). This move is not stackable.,Missing,Missing
Focus Punch,Fighting,STR DEX ,1 action,10,1 round_ Concentration,Melee,When activating this move_ you spend your action focusing your next attack. If you keep concentration_ as an action on your next turn_ make an attack roll against a creature_ doing fighting damage on a hit.,Higher Levels: The damage dice roll for this move changes to 5d6 at level 5_ 4d12 at level 10_ and 8d8 at level 17.,Missing
